task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	49/286802	774038	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_mhc_0_5)	CACHED	0	2025-08-29 01:16:57.282	357ms	19ms	40.7%	0	0	113.1 KB	377 B
5	84/3e132b	773898	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_mhc_0_7)	CACHED	0	2025-08-29 01:16:57.244	306ms	7ms	63.2%	0	0	111.1 KB	377 B
7	77/430c56	773840	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_mhc_0_9)	CACHED	0	2025-08-29 01:16:57.232	303ms	9ms	66.7%	0	0	117.2 KB	377 B
12	ed/ac234a	773963	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_mhc_0_4)	CACHED	0	2025-08-29 01:16:57.264	198ms	14ms	43.6%	0	0	115.1 KB	375 B
2	c1/ec6cee	773721	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_mhc_0_4)	CACHED	0	2025-08-29 01:16:57.208	211ms	10ms	70.6%	0	0	113.1 KB	377 B
1	f9/f66dcd	774119	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_mhc_0_3)	CACHED	0	2025-08-29 01:16:57.304	393ms	9ms	50.0%	0	0	113.1 KB	377 B
6	fb/9f8373	773575	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_mhc_0_8)	CACHED	0	2025-08-29 01:16:57.173	95ms	4ms	66.7%	0	0	113.1 KB	377 B
9	56/d7ebd1	773682	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_mhc_0_11)	CACHED	0	2025-08-29 01:16:57.198	196ms	9ms	57.1%	0	0	115.1 KB	379 B
8	f8/b53073	773609	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_mhc_0_10)	CACHED	0	2025-08-29 01:16:57.181	131ms	4ms	92.3%	0	0	117.2 KB	379 B
10	f7/c278ae	773765	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_mhc_0_12)	CACHED	0	2025-08-29 01:16:57.218	180ms	11ms	72.7%	0	0	115.1 KB	379 B
11	2d/5e5076	773553	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_mhc_0_3)	CACHED	0	2025-08-29 01:16:57.159	92ms	3ms	100.0%	0	0	117.2 KB	376 B
4	c1/4356eb	773639	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_mhc_0_6)	CACHED	0	2025-08-29 01:16:57.189	165ms	5ms	0.0%	0	0	117.1 KB	375 B
17	52/5613b2	774229	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_mhc_0_6)	CACHED	0	2025-08-29 01:16:57.335	393ms	19ms	21.8%	0	0	115.1 KB	375 B
20	83/bcdc60	774484	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_mhc_0_8)	CACHED	0	2025-08-29 01:16:57.406	418ms	25ms	48.6%	0	0	115.1 KB	375 B
18	9d/a58af1	774356	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_mhc_0_7)	CACHED	0	2025-08-29 01:16:57.365	388ms	35ms	63.2%	0	0	117.2 KB	375 B
13	46/9ea370	774200	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_mhc_0_5)	CACHED	0	2025-08-29 01:16:57.327	426ms	11ms	57.1%	0	0	115.1 KB	375 B
28	fc/edd71f	774852	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_mhc_0_11)	CACHED	0	2025-08-29 01:16:57.619	281ms	15ms	38.7%	0	0	115.1 KB	377 B
24	1c/f71503	774749	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_mhc_0_9)	CACHED	0	2025-08-29 01:16:57.520	348ms	16ms	61.0%	0	0	117.2 KB	375 B
31	2a/ada762	775156	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_epitope_0_4)	CACHED	0	2025-08-29 01:16:57.740	246ms	9ms	27.9%	0	0	117.2 KB	383 B
33	fc/e8509c	775239	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_epitope_0_6)	CACHED	0	2025-08-29 01:16:57.763	223ms	19ms	34.3%	0	0	113.1 KB	383 B
30	e5/1a0a68	774925	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_epitope_0_3)	CACHED	0	2025-08-29 01:16:57.660	263ms	11ms	45.3%	0	0	117.2 KB	383 B
42	1b/a8da84	776174	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_epitope_0_11)	CACHED	0	2025-08-29 01:16:58.129	268ms	15ms	49.0%	0	0	117.2 KB	385 B
38	aa/fc9294	775278	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_epitope_0_7)	CACHED	0	2025-08-29 01:16:57.776	240ms	13ms	27.3%	0	0	117.2 KB	383 B
40	bc/d6b1fa	775077	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_epitope_0_9)	CACHED	0	2025-08-29 01:16:57.713	255ms	21ms	33.8%	0	0	115.1 KB	383 B
29	20/d31bc4	774173	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_mhc_0_12)	CACHED	0	2025-08-29 01:16:57.318	433ms	12ms	23.5%	0	0	115.1 KB	377 B
39	13/e66529	776172	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_epitope_0_8)	CACHED	0	2025-08-29 01:16:58.114	281ms	15ms	40.7%	0	0	113.1 KB	383 B
41	46/c503f9	776393	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_epitope_0_10)	CACHED	0	2025-08-29 01:16:58.430	250ms	16ms	36.9%	0	0	115.1 KB	385 B
32	60/470f27	774995	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_epitope_0_5)	CACHED	0	2025-08-29 01:16:57.685	248ms	9ms	60.0%	0	0	115.1 KB	383 B
26	a2/03644d	774525	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_mhc_0_10)	CACHED	0	2025-08-29 01:16:57.417	408ms	30ms	33.3%	0	0	115.1 KB	377 B
43	9c/dd4cd5	775298	GENERATE_TRAIN_CONFIG (human-u_cdr3beta_epitope_0_12)	CACHED	0	2025-08-29 01:16:57.784	215ms	17ms	46.2%	0	0	113.1 KB	385 B
44	d3/15ed98	774611	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_epitope_0_3)	CACHED	0	2025-08-29 01:16:57.436	420ms	15ms	35.6%	0	0	115.1 KB	385 B
45	9a/f37994	776226	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_epitope_0_4)	CACHED	0	2025-08-29 01:16:58.216	273ms	19ms	44.4%	0	0	113.1 KB	385 B
47	96/52ca87	776459	GENERATE_TRAIN_CONFIG (human-ch_cdr3beta_epitope_0_6)	CACHED	0	2025-08-29 01:16:58.522	282ms	14ms	36.4%	0	0	115.1 KB	385 B
